Empresa,Año,ACTIVO FIJO,ACTIVO CORRIENTE,OTROS ACTIVOS,PASIVO A LARGO PLAZO,PASIVO CORRIENTE,OTROS PASIVOS,CAPITAL SOCIAL,OTROS PATRIMONIO,TOTAL PATRIMONIO,INGRESOS OPERACIONALES,OTROS INGRESOS,COSTOS Y GASTOS OPERACIONALES,OTROS GASTOS,UTILIDAD (PERDIDA) OPERACIONAL,PROVISION PARA IMPUESTOS,UTILIDAD (PERDIDA) NETA,TIPO_EMPRESA
AVIANCA S.A.,2013,-2147483648,-2147483648.0,1122631000,-2147483648,-2147483648,0.0,8936000.0,692903000,1284132000.0,-2147483648,88533000,-2147483648,303918000,531790000,76695000,239710000,COMERCIAL
AVIANCA S.A.,2013.0,-2147483648,-2147483648.0,1122631000,-2147483648,-2147483648,0.0,8936000.0,692903000,1284132000.0,-2147483648,88533000,-2147483648,303918000,531790000,76695000,239710000,COMERCIAL
AVIANCA S.A.,2014,-2147483648,-2147483648.0,1202534000,-2147483648,-2147483648,0.0,402836000.0,350900000,1246986000.0,-2147483648,168323000,-2147483648,160971000,346760000,76492000,277620000,COMERCIAL
AVIANCA S.A.,2014.0,-2147483648,-2147483648.0,1486572000,-2147483648,-2147483648,0.0,8936000.0,700459000,1061325000.0,-2147483648,230391000,-2147483648,601300000,299486000,-4817000,-66606000,COMERCIAL
AVIANCA S.A.,2015,-2147483648,2104911000.0,1919351000,-2147483648,-2147483648,0.0,402836000.0,755637000,1437410000.0,-2147483648,269200000,-2147483648,726682000,168450000,60614000,-349646000,COMERCIAL
AVIANCA S.A.,2015.0,-2147483648,2104911000.0,-2147483648,-2147483648,-2147483648,0.0,402836000.0,755637000,1437410000.0,-2147483648,269200000,-2147483648,726682000,168450000,60614000,-349646000,COMERCIAL
AVIANCA S.A.,2016,-2147483648,-2147483648.0,1746388316,-2147483648,-2147483648,0.0,402835619.0,706769434,1611421337.0,-2147483648,210328131,-2147483648,350693092,306131280,5930353,159835966,COMERCIAL
AVIANCA S.A.,2016.0,-2147483648,-2147483648.0,1746388000,-2147483648,-2147483648,0.0,402836000.0,706769000,1611421000.0,-2147483648,210328000,-2147483648,350693000,306131000,5930000,159836000,COMERCIAL
AVIANCA S.A.,2017,-2147483648,-2147483648.0,1775882314,-2147483648,-2147483648,0.0,402835619.0,1212954776,1642251430.0,-2147483648,57100955,-2147483648,266605612,262523911,3965837,49053417,COMERCIAL
AVIANCA S.A.,2017.0,-2147483648,-2147483648.0,1680251494,-2147483648,-2147483648,0.0,402835619.0,810805825,1642251430.0,-2147483648,57100955,-2147483648,266605612,262523911,3965837,49053417,COMERCIAL
AVIANCA S.A.,2018.0,-2147483648,-2147483648.0,2030975011,-2147483648,-2147483648,0.0,402835619.0,1637199845,1928133736.0,-2147483648,194701623,-2147483648,358368262,460480292,28036695,268776958,COMERCIAL
AVIANCA S.A.,2019,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,504906080.0,0,165193401.0,-2147483648,0,-2147483648,0,-826076963,13066738,-1694806666,COMERCIAL
AVIANCA S.A.,2020,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,978134822.0,0,-1022995799.0,-2147483648,0,-2147483648,0,-1298629536,7213690,-1818938276,COMERCIAL
AVIANCA S.A.,2020.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,1071268580.0,0,-1022995799.0,-2147483648,0,-2147483648,0,-1298629536,7213690,-1818938276,COMERCIAL
AVIANCA S.A.,2021.0,-2147483648,-2147483648.0,0,2124313289,-2147483648,0.0,-2147483648.0,0,-238962222.0,-2147483648,0,-2147483648,0,-2147483648,1159642,-2097229299,COMERCIAL
AVIANCA S.A.,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,COMERCIAL
AVIANCA S.A.,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,COMERCIAL
COPA_AIRLINES,2008,19310972,139252771.0,46993980,34132206,149846380,0.0,92338275.0,10782288,21579137.0,527378480,0,526979583,72647124,398897,-5485466,-66762761,COMERCIAL
COPA_AIRLINES,2009.0,48779804,146043249.0,1049982,8629676,164307377,0.0,92338275.0,10782288,22935982.0,514553797,-3039672,509195410,0,5358387,961870,1356845,COMERCIAL
COPA_AIRLINES,2010.0,51941718,116001631.0,928510,563989,160364727,0.0,92338275.0,10917972,7943143.0,486240998,4770700,504711909,0,-18470911,1292628,-14992839,COMERCIAL
COPA_AIRLINES,2011.0,28229426,165525569.0,41549395,1850698,216844651,0.0,6982568.0,98206648,16609041.0,630966625,3081152,615793858,0,15172767,11520990,6732929,COMERCIAL
COPA_AIRLINES,2012.0,3878234,170262262.0,50808508,1304667,209503832,0.0,6982568.0,103994935,14140505.0,682162106,0,675632061,5241469,6530045,2812470,-1523894,COMERCIAL
COPA_AIRLINES,2016,29571916,352996101.0,97991303,27371057,432342289,0.0,7479681.0,174229480,20845974.0,589316605,37115305,638700714,2023825,-49384109,-6848750,-7443879,COMERCIAL
COPA_AIRLINES,2017,19180208,285957193.0,94267004,6108202,369454773,0.0,7479681.0,170492812,23842430.0,483005943,7974541,475895757,0,7110186,8351603,6733124,COMERCIAL
COPA_AIRLINES,2017.0,19180208,285957797.0,94267400,6108202,369454773,0.0,7479681.0,170492812,23842430.0,483005943,7974541,475895757,0,7110186,8351603,6733124,COMERCIAL
COPA_AIRLINES,2018.0,12680937,237552910.0,86913655,5537940,305819966,0.0,7479681.0,172261193,25789596.0,473392716,2740470,446539165,12676247,26853551,14390199,2527575,COMERCIAL
COPA_AIRLINES,2019,151003963,251360313.0,0,42865391,325115867,0.0,7479681.0,0,34383018.0,443190567,0,421407718,0,21782849,9409929,10774551,COMERCIAL
COPA_AIRLINES,2020,156511950,188433242.0,0,17070678,338436111,0.0,7479681.0,0,-10561597.0,160865638,0,230951518,0,-70085880,23317603,-47184013,COMERCIAL
COPA_AIRLINES,2020.0,156511950,188433242.0,0,17070678,338436111,0.0,7479681.0,0,-10561597.0,160865638,0,230951518,0,-70085880,23317603,-47184013,COMERCIAL
COPA_AIRLINES,2021.0,229769761,267235162.0,0,79704965,400170624,0.0,7479681.0,0,17129334.0,391454244,0,351193489,0,40260755,13299404,25745089,COMERCIAL
COPA_AIRLINES,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,1459757000,-2147483648,0,-2147483648,433961000,-2147483648,COMERCIAL
COPA_AIRLINES,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,COMERCIAL
EASY FLY,2019,529548844,122146581.0,0,238781353,121345799,0.0,9587670.0,0,291568273.0,383586613,0,38564688,0,77302905,22325740,24370066,COMERCIAL
EASY FLY,2020,496219513,107244261.0,0,328374641,55575809,0.0,9587670.0,0,219513324.0,138930499,0,15800963,0,99637003,24495221,-125094710,COMERCIAL
EASY FLY,2020.0,496219513,107244261.0,0,328374641,55575809,0.0,9587670.0,0,219513324.0,138930499,0,59365782,0,99637003,24495221,-125094710,COMERCIAL
EASY FLY,2021.0,475246487,147381103.0,0,329911509,81490950,0.0,9587670.0,0,211225131.0,317550795,0,21039149,0,26932708,2639216,6132834,COMERCIAL
REGIONAL EXPRESS AMERICA ,2019,321410927,48304047.0,0,312610569,54866523,0.0,5800000.0,0,2237882.0,73350086,0,73920716,0,570630,152203,-3252479,COMERCIAL
REGIONAL EXPRESS AMERICA ,2020,209821483,76172592.0,0,123553684,156473436,0.0,6168800.0,0,5966955.0,83752037,0,69684475,0,14067562,6115903,3592672,COMERCIAL
REGIONAL EXPRESS AMERICA ,2020.0,209821483,76172592.0,0,123553684,156473436,0.0,5800000.0,0,5966955.0,83752037,0,69684475,0,14067562,6115903,3592672,COMERCIAL
